targets,factors
STAT1,IFNGe & ! STAT6
STAT5,GMCSFe & ! IL10R
IL12_out,(STAT1 | STAT5 | NFKB) & ! IL10R
IL1R,IL1Be | NFKB
FCGR,ICe & (LPSe | IL1Be)
TLR4,LPSe & ! FCGR
NFKB,(IL1R | TLR4 | FCGR) & ! ( PPARG | IL10R| STAT6 | STAT6)
VEGF_out,HIF1a
HIF1a,TLR4 & NECA
STAT6,IL4e
PPARG,STAT6
ERK,FCGR
IL6R,(IL6e | IL6_out) & !SOCS3
STAT3,IL6R
IL10R,(IL10e | (IL10_out & (PPARG | STAT6 | ERK))) & ! FCGR
SOCS3,(STAT3 | IL10R)
IL6_out,NFKB | STAT3
IL10_out,(PPARG | IL10R | ERK) & ! STAT1
IFNGe,IFNGe
GMCSFe,GMCSFe
IL1Be,IL1Be
ICe,ICe
LPSe,LPSe
NECA,NECA
IL4e,IL4e
IL6e,IL6e
IL10e,IL10e
